date,Water Level
28/03/2015,2.42
29/03/2015,2.4
30/03/2015,2.37
31/03/2015,2.34
01/04/2015,2.38
02/04/2015,2.4
03/04/2015,2.43
04/04/2015,2.41
05/04/2015,2.45
06/04/2015,2.47
07/04/2015,2.42
08/04/2015,2.37
09/04/2015,2.3
10/04/2015,2.24
11/04/2015,2.3
12/04/2015,2.34
13/04/2015,2.38
14/04/2015,2.44
15/04/2015,2.41
16/04/2015,2.4
17/04/2015,2.37
18/04/2015,2.4
19/04/2015,2.42
20/04/2015,2.47
21/04/2015,2.43
22/04/2015,2.4
23/04/2015,2.37
24/04/2015,2.32
25/04/2015,2.29
26/04/2015,2.34
27/04/2015,2.36
28/04/2015,2.41
29/04/2015,2.46
30/04/2015,2.41
01/05/2015,2.38
02/05/2015,2.34
03/05/2015,2.33
04/05/2015,2.38
05/05/2015,2.39
06/05/2015,2.42
07/05/2015,2.38
08/05/2015,2.37
09/05/2015,2.35
10/05/2015,2.32
11/05/2015,2.37
12/05/2015,2.4
13/05/2015,2.43
14/05/2015,2.47
15/05/2015,2.53
16/05/2015,2.52
17/05/2015,2.49
18/05/2015,2.45
19/05/2015,2.42
20/05/2015,2.4
21/05/2015,2.46
22/05/2015,2.51
23/05/2015,2.47
24/05/2015,2.44
25/05/2015,2.41
26/05/2015,2.39
27/05/2015,2.44
28/05/2015,2.47
29/05/2015,2.54
30/05/2015,2.62
31/05/2015,2.67
01/06/2015,2.62
02/06/2015,2.57
03/06/2015,2.55
04/06/2015,2.5
05/06/2015,2.46
06/06/2015,2.53
07/06/2015,2.57
08/06/2015,2.53
09/06/2015,2.51
10/06/2015,2.46
11/06/2015,2.43
12/06/2015,2.47
13/06/2015,2.51
14/06/2015,2.54
15/06/2015,2.59
16/06/2015,2.67
17/06/2015,2.62
18/06/2015,2.56
19/06/2015,2.54
20/06/2015,2.51
21/06/2015,2.45
22/06/2015,2.52
23/06/2015,2.59
24/06/2015,2.6
25/06/2015,2.61
26/06/2015,2.56
27/06/2015,2.53
28/06/2015,2.5
29/06/2015,2.47
30/06/2015,2.43
01/07/2015,2.41
02/07/2015,2.47
03/07/2015,2.55
04/07/2015,2.58
05/07/2015,2.64
06/07/2015,2.62
07/07/2015,2.6
08/07/2015,2.55
09/07/2015,2.53
10/07/2015,2.47
11/07/2015,2.49
12/07/2015,2.47
13/07/2015,2.49
14/07/2015,2.52
15/07/2015,2.49
16/07/2015,2.47
17/07/2015,2.43
18/07/2015,2.4
19/07/2015,2.38
20/07/2015,2.34
21/07/2015,2.36
22/07/2015,2.4
23/07/2015,2.42
24/07/2015,2.46
25/07/2015,2.39
26/07/2015,2.37
27/07/2015,2.31
28/07/2015,2.23
29/07/2015,2.29
30/07/2015,2.32
31/07/2015,2.35
01/08/2015,2.39
02/08/2015,2.37
03/08/2015,2.36
04/08/2015,2.33
05/08/2015,2.35
06/08/2015,2.39
07/08/2015,2.35
08/08/2015,2.33
09/08/2015,2.29
10/08/2015,2.23
11/08/2015,2.14
12/08/2015,2.22
13/08/2015,2.26
14/08/2015,2.31
15/08/2015,2.37
16/08/2015,2.46
17/08/2015,2.43
18/08/2015,2.4
19/08/2015,2.37
20/08/2015,2.34
21/08/2015,2.37
22/08/2015,2.4
23/08/2015,2.37
24/08/2015,2.35
25/08/2015,2.28
26/08/2015,2.13
27/08/2015,2.22
28/08/2015,2.26
29/08/2015,2.34
30/08/2015,2.45
31/08/2015,2.37
01/09/2015,2.33
02/09/2015,2.23
03/09/2015,2.3
04/09/2015,2.34
05/09/2015,2.4
06/09/2015,2.31
07/09/2015,2.28
08/09/2015,2.26
09/09/2015,2.18
10/09/2015,2.3
11/09/2015,2.38
