date,time,water level
01/04/2010,13.51,852
02/04/2010,13.48,972
03/04/2010,13.47,1040
04/04/2010,13.51,1280
05/04/2010,13.57,1540
06/04/2010,13.63,1520
07/04/2010,13.57,1420
08/04/2010,13.52,1320
09/04/2010,13.52,1120
10/04/2010,13.53,1100
11/04/2010,13.51,978
12/04/2010,13.54,945
13/04/2010,13.49,875
14/04/2010,13.39,726
15/04/2010,13.41,525
16/04/2010,13.42,558
17/04/2010,13.44,618
18/04/2010,13.44,515
19/04/2010,13.48,735
20/04/2010,13.45,805
21/04/2010,13.49,1050
22/04/2010,13.48,1480
23/04/2010,13.47,1980
24/04/2010,13.45,2050
25/04/2010,13.45,2250
26/04/2010,13.55,2550
27/04/2010,13.62,2550
28/04/2010,13.74,2230
29/04/2010,13.63,1810
30/04/2010,13.62,1590
01/05/2010,13.57,1590
02/05/2010,13.53,1530
03/05/2010,13.5,1290
04/05/2010,13.44,898
05/05/2010,13.42,755
06/05/2010,13.42,661
07/05/2010,13.32,743
08/05/2010,13.29,769
09/05/2010,13.29,560
10/05/2010,13.27,454
11/05/2010,13.29,486
12/05/2010,13.27,486
13/05/2010,13.24,455
14/05/2010,13.21,444
15/05/2010,13.22,514
16/05/2010,13.21,505
17/05/2010,13.22,410
18/05/2010,13.25,605
19/05/2010,13.23,757
20/05/2010,13.22,629
21/05/2010,13.18,579
22/05/2010,13.28,636
23/05/2010,13.23,691
24/05/2010,13.22,666
25/05/2010,13.2,614
26/05/2010,13.18,608
27/05/2010,13.19,632
28/05/2010,13.17,625
29/05/2010,13.17,647
30/05/2010,13.14,566
31/05/2010,13.17,626
01/06/2010,13.14,636
02/06/2010,13.11,446
03/06/2010,13.07,320
04/06/2010,13.07,285
05/06/2010,13.02,272
06/06/2010,12.98,355
07/06/2010,12.96,306
08/06/2010,12.92,338
09/06/2010,12.87,508
10/06/2010,13.01,724
11/06/2010,13.04,882
12/06/2010,13.04,1100
13/06/2010,13.05,1110
14/06/2010,13.06,1050
15/06/2010,13.07,952
16/06/2010,13.06,775
